tweet_id,S1,S2,S3,S4,S5,Sum,Ground_Truth
1933041453875564996,1,1,1,1,1,5,1
1926626156456902953,1,1,1,1,1,5,1
1918900302998307063,1,1,1,1,1,5,1
1917474342864302212,1,1,1,1,1,5,1
1917467975923425456,1,1,1,1,1,5,1
1917463359810843030,1,1,1,1,1,5,1
1918996279960477796,1,1,1,1,1,5,1
1918993441519763569,1,1,1,1,1,5,1
1918970832908431439,1,1,1,1,1,5,1
1917532709746008179,1,1,1,1,1,5,1
1980617036414996675,1,1,1,1,1,5,1
1980590762917306371,1,1,1,1,1,5,1
1980524844929413247,1,1,1,1,1,5,1
1980442057224438037,1,1,1,1,1,5,1
1980198032223478123,1,1,1,1,1,5,1
1980164754883985808,1,1,1,1,1,5,1
1980128898466918667,1,1,1,1,1,5,1
1980121532367331808,1,1,1,1,1,5,1
1980078693507912031,1,1,1,1,1,5,1
1980077288860557386,0,1,1,1,1,4,1
1980057035497676945,1,1,1,1,1,5,1
1980027425460498493,1,1,1,1,1,5,1
1980026782498869701,1,1,1,1,1,5,1
1980026187742380410,1,1,1,1,1,5,1
1979864633357042173,1,1,1,1,1,5,1
1979864598619824201,1,1,1,1,1,5,1
1979863687138841026,1,1,1,1,1,5,1
1979846079005995208,1,1,1,1,1,5,1
1979841503649481128,1,1,1,1,1,5,1
1979828931814678862,1,1,1,1,1,5,1
1979769198676205611,1,1,1,1,1,5,1
1979757443220685015,1,1,1,1,1,5,1
1979734460276015366,1,1,1,1,1,5,1
1979712899817046526,1,1,1,1,1,5,1
1979710814836928569,1,1,1,1,1,5,1
1979582193392554181,1,1,1,1,1,5,1
1979515209783120015,0,1,1,1,1,4,1
1979512492557799512,1,1,1,1,1,5,1
1979505644257591740,1,1,1,1,1,5,1
1979323540303470953,1,1,1,1,1,5,1
1979322534102175975,1,1,1,1,1,5,1
1979322029397393608,1,1,1,1,1,5,1
1979321858337214516,1,1,1,1,1,5,1
1979054181534097834,0,1,1,1,1,4,1
1979052573358235663,1,1,1,1,1,5,1
1979051513021419687,1,1,1,1,1,5,1
1979050237680370049,1,1,1,1,1,5,1
1979047081823101245,1,1,1,1,1,5,1
1979005971906109640,1,1,1,1,1,5,1
1979001999350710483,0,1,1,1,1,4,1
1978962303685926955,1,1,1,1,1,5,1
1978851149710000535,0,1,1,1,1,4,1
1978784036379099200,1,1,1,1,1,5,1
1978783081671598411,1,1,1,1,1,5,1
1978782900129554590,1,1,1,1,1,5,1
1978719167776706637,1,1,1,1,1,5,1
1978688604642979863,1,1,1,1,1,5,1
1978687849735328251,1,1,1,1,1,5,1
1978476708153159868,1,1,1,1,1,5,1
1978445081154572644,1,1,1,1,1,5,1
1978330002866184436,1,1,1,1,1,5,1
1978268710054830238,0,1,1,1,1,4,1
1978131655798698480,1,1,1,1,1,5,1
1978129552103588042,1,1,1,1,1,5,1
1978100695778681247,1,1,1,1,1,5,1
1978099469355774391,1,1,1,1,1,5,1
1978034023063605524,0,0,1,1,1,3,1
1978000590824526272,0,0,1,1,1,3,1
1977997806985257353,1,1,1,1,1,5,1
1977978063649747041,1,1,1,1,1,5,1
1977975185568588214,1,1,1,1,1,5,1
1977963075396338087,1,1,1,1,1,5,1
1977929808450600997,1,1,1,1,1,5,1
1977723912055111846,1,1,1,1,1,5,1
1977624400716558691,1,1,1,1,1,5,1
1977621094443209117,1,1,1,1,1,5,1
1977620854789099577,1,1,1,1,1,5,1
1977600480261112287,1,1,1,1,1,5,1
1977420163638300762,1,1,1,1,1,5,1
1977316112942629222,1,1,1,1,1,5,1
1977291132314009615,1,1,1,1,1,5,1
1977287076300439687,1,1,1,1,1,5,1
1977286172130132002,1,1,1,1,1,5,1
1977252982392832327,1,1,1,1,1,5,1
1977227052379189360,1,1,1,1,1,5,1
1977222990380384493,1,1,1,1,1,5,1
1977126694596362547,1,1,1,1,1,5,1
1977011999134695903,1,1,1,1,1,5,1
1976997562038338045,1,1,1,1,1,5,1
1973409194310246665,1,1,1,1,1,5,1
1973407265068638717,0,1,1,1,1,4,1
1973407194075857042,1,1,1,1,1,5,1
1973403413410165218,1,1,1,1,1,5,1
1973380473238770107,1,1,1,1,1,5,1
1973372689449615709,1,1,1,1,1,5,1
1973346024199713249,1,1,1,1,1,5,1
1973337128592613855,1,1,1,1,1,5,1
1973334614140911876,1,1,1,1,1,5,1
1973324938754077012,1,1,1,1,1,5,1
1976693372871229550,1,1,1,1,1,5,1
1976683255111033006,1,1,1,1,1,5,1
1976673179713368358,1,1,1,1,1,5,1
1976592375033307232,1,1,1,1,1,5,1
1976407543221195038,1,1,1,1,1,5,1
1976213844084363579,1,1,1,1,1,5,1
1976211037037752352,1,1,1,1,1,5,1
1976179590117908648,1,1,1,1,1,5,1
1976110382881309053,1,1,1,1,1,5,1
1976110264832622907,1,1,1,1,1,5,1
1975790694460702768,1,1,1,1,1,5,1
1975787340426891359,1,1,1,1,1,5,1
1975786477130072530,1,1,1,1,1,5,1
1975729214071722233,1,1,1,1,1,5,1
1975683789063127258,1,1,1,1,1,5,1
1975680139833848190,1,1,1,1,1,5,1
1975673631884910774,1,1,1,1,1,5,1
1975673231022711280,1,1,1,1,1,5,1
1975488039012213164,1,1,1,1,1,5,1
1975481888946200600,1,1,1,1,1,5,1
1975478271359000915,1,1,1,1,1,5,1
1975465947621433622,1,1,1,1,1,5,1
1975389015299027452,1,1,1,1,1,5,1
1975371229013111149,1,1,1,1,1,5,1
1975317931203682437,1,1,1,1,1,5,1
1975309061995553203,1,1,1,1,1,5,1
1975218173588001051,1,1,1,1,1,5,1
1975141646242349485,1,1,1,1,1,5,1
1975053269157495013,1,1,1,1,1,5,1
1974970859644473839,1,1,1,1,1,5,1
1974970501056635294,1,1,1,1,1,5,1
1974966767010349298,1,1,1,1,1,5,1
1974964881549115874,1,1,1,1,1,5,1
1974667481722843489,1,1,1,1,1,5,1
1974666712713978108,1,1,1,1,1,5,1
1974612217053237380,1,1,1,1,1,5,1
1974446396007985619,1,1,1,1,1,5,1
1974438637699043656,1,1,1,1,1,5,1
1974432995475165277,1,1,1,1,1,5,1
1974373177146089909,1,1,1,1,1,5,1
1974349352698335682,1,1,1,1,1,5,1
1974313130349244599,1,1,1,1,1,5,1
1974291799897494007,1,1,1,1,1,5,1
1974259807818518545,1,1,1,1,1,5,1
1974258029752111605,1,1,1,1,1,5,1
1974036770837967037,1,1,1,1,1,5,1
1973979996118266071,1,1,1,1,1,5,1
2031679263016165514,1,0,1,1,1,4,1
2031625715339477435,1,0,1,1,1,4,1
2031623514852348124,0,1,1,0,1,3,1
2031376554232787238,1,0,1,1,1,4,1
2032676040078930248,1,1,1,1,1,5,1
2032452659136147961,1,1,1,1,1,5,1
2032424538412286335,1,1,1,1,1,5,1
2032725719273595024,0,1,1,1,1,4,1
2032726090737959126,1,1,1,1,1,5,1
2029755985871663380,1,1,1,1,1,5,1
2029779301223252284,0,1,1,1,1,4,1
2028425571261395275,1,1,1,1,1,5,1
2028389975386177694,1,1,1,1,1,5,1
2028432841051361352,1,1,1,1,1,5,1
2028433155317981282,1,1,1,1,1,5,1
2048715052811943963,1,1,1,1,1,5,1
2047958207671492791,1,1,1,1,1,5,1
2047935914312347722,1,1,1,1,1,5,1
2046822450764423270,1,1,1,1,1,5,1
2048985690143383601,1,1,1,1,1,5,1
2049112244626375079,1,0,1,1,1,4,1
2024816195606855784,1,1,1,1,1,5,1
2025160839465238913,1,1,1,1,1,5,1
2023246198677938460,1,1,1,1,1,5,1
2023246576848666774,1,1,1,1,1,5,1
2019236458134139177,1,1,1,1,1,5,1
2019236319298482429,0,1,1,1,1,4,1
2019978100558492157,1,1,1,1,1,5,1
2019973138998784341,1,1,1,1,1,5,1
2019650294918050059,1,1,1,1,1,5,1
2017085813868417406,1,1,1,1,1,5,1
2017122546953654492,1,1,1,1,1,5,1
2017814361247781303,1,1,1,1,1,5,1
