,no_2,tweet_id_2,waktu_2,tweet_2,keyword_2,buzzer_2,indicator_2,phrase_2
1,4983.0,1933041453875564996,12/06/2025 12.59,"Program makan bergizi gratis tidak hanya fokus pada peningkatan gizi namun jga membuka banyak peluang kerja baru, Selain itu memberikan kesempatan bagi UMKM terlibat dlm penyediaan bahan makanan bergizi.
 Lanjutkan MBG
 #LanjutkanMBGuntukIndonesiaEmas
 . 
 Rolex Gacoan Jepang BCIS",makanan bergizi gratis,1,3.0,Lanjutkan MBG
2,11487.0,1926626156456902953,25/05/2025 20.07,"Presiden 
 @prabowo
  bicara soal regulasi rumit dan pejabat tua ribet
 
 #LanjutkanMBGUntukIndonesiaEmas
 MBG bertujuan mengatasi stunting dan meningkatkan kualitas gizi anak Indonesia 
 Lanjutkan MBG Keren 
 
 #mbg #sekolah #anak #makanbergizigratis #prabowo #gibran #jokowi",#mbg,1,2.0,@prabowo
3,13169.0,1918900302998307063,2025-04-05 12:27:00,"Bersama kita dukung untuk Lanjutkan MBG, Program makan bergizi gratis memiliki Stndar Operasional Prosedur (SOP) yg ktat untk memastikn kualitas & keamanan makanan terbukti 25 juta makanan tlah dibagikn dan aman. 
#LanjutkanMBGIndonesiaGemilang 
. 
MyDay Jambak Hobi Minggu Melani",makanan bergizi gratis,1,3.0,#LanjutkanMBGIndonesiaGemilang 
4,13244.0,1917474342864302212,30/04/2025 14:01:00,"Lanjutkan MBG Program pemerintah untuk mengatasi stunting dengan menyediakan makanan bergizi bagi anak - anak, Selain itu program makam bergizi gratis juga bertujuan untuk meningkatkan status gizi dan memperkuat ekonomi lokal.
#LanjutkanMBG
. 
Baila Dear Friend WILLIAMEST X COACH",makanan bergizi gratis,1,3.0,atasi stunting
5,13245.0,1917467975923425456,30/04/2025 13:36:00,"Program makan bergizi gratis tidak hanya memberikan makanan kepada anak sekolah namun jga sbagai pnggerak UMKM Lokal dlm pnyediaan rntai pasok mkanan bergizi memastikn ketersediaan makanan yg segar dan berkualitas. Bersama kita dukung untuk Lanjutkan MBG. #LanjutkanMBG
. 
X COACH",makanan bergizi gratis,1,3.0,Lanjutkan MBG
6,20904.0,1917463359810843030,30/04/2025 13:17:00,"Program makan siang gratis dapat membantu mengurangi kemiskinan dengan menyediakan kebutuhan dasar bagi anak2 dari keluarga yg kurang mampu Lanjutkan MBG krn anak akan mendapatkan kesehatan yang lebih baik dan mereka dpt belajar dan berkembang dengan lebih optimal
#LanjutkanMBG",makan siang gratis,1,3.0,Lanjutkan MBG
7,58011.0,1918996279960477796,2025-04-05 18:49:00,"Terus Lanjutkan MBG karena MBG terbukti membawa manfaat baik bagi anak2,dengan adanya MBG ketidakhadiran siswa jadi menurun

Kini BGN terus melakukan Evaluasi sistem MBG agar kejadian serupa tidak terulang kembali
#LanjutkanMBGIndonesiaGemilang

Dada #NekkoxGFPetExpo Alwi Mecima",keracunan mbg,1,3.0,Lanjutkan MBG
8,58012.0,1918993441519763569,2025-04-05 18:37:00,"Dari segelintir kasus keracunan yg terjadi menunjukkan bhw Program MBG secara umum efektif dan aman. MBG tetap mjd harapan besar bagi jutaan anak Indonesia. Program ini patut trs didukung dan ditingkatkan utk memberikan manfaat yg lebih luas.

#LanjutkanMBGIndonesiaGemilang

Dada",keracunan mbg,1,1.0,#LanjutkanMBGIndonesiaGemilang
9,58014.0,1918970832908431439,2025-04-05 17:07:00,"Satu atau dua insiden tdk dpt menggambarkan kegagalan MBG keberhasilan program ini dapat dilihat dari dampak positif yang dirasakan oleh 25 juta anak yg telah mendapatkan manfaat, Lanjutkan MBG krn ada harapan jutaan anak Indonesia utk tumbuh sehat

#LanjutkanMBGIndonesiaGemilang",keracunan mbg,1,3.0,Lanjutkan MBG
10,58041.0,1917532709746008179,30/04/2025 17:53:00,"Lanjutkan MBG karena program ini sangat banyak manfaat nya, selain membantu anak anak agar tumbuh dengan sehat, program ini juga membantu para petani dan peternak lokal
#LanjutkanMBG
#WilliamEst",keracunan mbg,1,3.0,Lanjutkan MBG
11,58167.0,1980617036414996675,21/10/2025 19:47:00,"Kasus kayak gini harus jadi evaluasi bareng, tapi jangan sampai nutup mata sama manfaat besar MBG buat anak sekolah. Tetap dukung Gerakan Cegah Lapar #LanjutkanMBG",keracunan mbg,1,3.0, Gerakan Cegah Lapar
12,58172.0,1980590762917306371,21/10/2025 18:03:00,"Kerja Nyata bukan drama data!
MBG sudah beri manfaat ke 35 juta anak, semua dapur tersertifikasi higienis ✅
Yang penting: hasilnya nyata, bukan katanya.
 #LanjutkanMBG 
#كاريزما76 
#السعوديه_العراق 
#GMMTVFANIVALxFirstKhaotung",keracunan mbg,1,3.0,Kerja Nyata
